"Porcupine, prehensile-tailed",F,Addi,16
"Armadillo, common long-nosed",M,Gustavus,16
Desert tortoise,F,Diannne,20
"Dragon, asian water",M,Gus,10
"Fox, silver-backed",F,Godiva,7
Black-collared barbet,M,Gard,9
White-throated kingfisher,M,Josh,2
Southern white-crowned shrike,M,Web,3
Rhesus monkey,M,Hewie,8
"Eagle, bateleur",M,Talbert,19
"Pintail, white-cheeked",M,Conney,19
"Constrictor, eastern boa",M,Wyatt,15
"Civet, small-toothed palm",F,Donica,4
"Barbet, levaillant's",F,Gae,1
"Rhea, greater",M,Dagny,13
Red-billed hornbill,M,Alfonso,5
"Lapwing, southern",M,Roderich,3
"Squirrel, nelson ground",M,Peyton,15
Red-winged hawk (unidentified),M,Sebastiano,18
"Brocket, red",F,Cecile,23
Bush dog,M,Adlai,8
"Booby, blue-footed",M,Isidro,4
Little heron,F,Genia,9
"Lemming, arctic",F,Teena,12
Asiatic wild ass,F,Jo-anne,17
North American porcupine,M,Farr,19
"Grebe, little",F,Freddi,13
White-cheeked pintail,F,Thomasa,18
Vine snake (unidentified),F,Elaine,14
Flightless cormorant,F,Giralda,6
North American porcupine,M,Garald,6
"Wildebeest, blue",F,Amitie,1
Nilgai,F,Kalinda,4
Ostrich,M,Rollin,9
"Penguin, magellanic",M,Tann,7
"Wolf, timber",M,Seth,13
Yellow-billed stork,M,Willie,11
Eurasian badger,F,Glynda,1
Mara,F,Leanora,17
Chameleon (unidentified),M,Haskel,7
"Finch, common melba",M,Maurice,14
African ground squirrel (unidentified),M,Eb,6
Bald eagle,M,Thaxter,20
Pale-throated three-toed sloth,F,Rosalinda,10
African red-eyed bulbul,F,Latrena,4
"Colobus, white-mantled",F,Gabie,15
"Cardinal, black-throated",F,Shalne,5
"Armadillo, giant",F,Madelene,17
Red-headed woodpecker,F,Catharina,1
"Penguin, little blue",F,Kinna,8
Blesbok,F,Rodie,3
Northern fur seal,F,Nicoli,23
Gray heron,M,Gunner,22
Killer whale,F,Jermaine,1
"Skunk, western spotted",F,Clerissa,15
"Viper, egyptian",M,Nikos,17
Tammar wallaby,F,Emilia,7
Cuis,M,Pasquale,19
Common mynah,F,Dinnie,19
Python (unidentified),M,Hanan,20
Ocelot,F,Shina,21
"Bee-eater, nubian",M,Bancroft,7
African porcupine,F,Dayna,16
"Lion, california sea",M,Austen,7
Snowy egret,F,Caterina,23
Bleeding heart monkey,M,Alexei,10
Tayra,F,Halette,15
"Cockatoo, red-breasted",F,Brittni,14
Nyala,F,Madeline,17
White-mantled colobus,M,Wallie,3
Pine snake (unidentified),F,Brynna,3
Cape clawless otter,F,Tonya,1
Galapagos sea lion,M,Maje,12
Southern right whale,M,Goddard,8
Tawny eagle,F,Lynelle,3
Pygmy possum,M,Morten,23
Arctic lemming,F,Katherina,19
Turtle (unidentified),F,Ag,18
"Monster, gila",F,Annette,17
"Toucan, red-billed",M,Mayer,1
Ground legaan,F,Brenna,4
Glossy starling (unidentified),F,Glenn,10
African black crake,M,Trey,21
Australian sea lion,F,Sheba,17
Black-collared barbet,F,Lea,13
"Rat, desert kangaroo",M,Orton,14
Genoveva,F,Robinia,14
Giant anteater,M,Natal,2
"Monkey, black spider",M,Nowell,22
Canadian tiger swallowtail butterfly,M,Farlee,7
"Sheep, stone",M,Broddy,3
Whip-tailed wallaby,F,Gillan,23
Black-capped chickadee,M,Galen,21
Oriental short-clawed otter,M,Kermy,14
"Sloth, hoffman's",M,Humbert,20
Roseate cockatoo,F,Star,1
Woolly-necked stork,F,Rowena,20
Campo flicker,M,Stefan,7
"Hornbill, red-billed",F,Alex,14
Ringtail cat,M,Cole,20
"Heron, grey",F,Elizabeth,7
"Otter, canadian river",F,Sherline,11
Gray rhea,M,Kermie,11
"Hartebeest, coke's",M,Aubert,5
"Wallaby, tammar",F,Gracie,15
Crested barbet,M,Gib,1
South American meadowlark (unidentified),M,Wendall,22
Sarus crane,M,Pietrek,7
"Owl, australian masked",F,Codie,6
"Otter, african clawless",F,Goldie,1
"Admiral, indian red",M,Amerigo,13
Four-horned antelope,M,Bruno,12
Platypus,F,Midge,2
Long-crested hawk eagle,M,Tyler,19
Red-knobbed coot,M,Yance,13
"Baboon, chacma",F,Gabbie,17
"Rattlesnake, dusky",F,Janessa,11
Pygmy possum,F,Kristen,10
Roe deer,F,Sherill,11
Red-billed tropic bird,M,Valdemar,7
Urial,M,Tann,17
"Jackal, asiatic",F,Sissy,12
"Hawk, red-tailed",M,Jonathon,22
"Egret, great",M,Arri,15
"Turtle, snake-necked",M,Darrick,20
Eurasian hoopoe,M,Meir,12
Black-tailed tree creeper,M,Brannon,20
"Grenadier, common",M,Dan,6
Hippopotamus,M,Brewster,15
Little brown bat,F,Norean,18
"Quail, gambel's",M,Odo,8
Brown hyena,M,Jerry,6
Red-winged blackbird,M,Chaddy,19
"Colobus, black and white",F,Clarabelle,8
"Quoll, spotted-tailed",F,Maybelle,9
"Hartebeest, coke's",F,Vanna,15
"Cormorant, flightless",F,Korry,13
Bee-eater (unidentified),F,Marketa,18
"Wapiti, elk,",M,Hube,19
"Badger, honey",M,Bevon,14
Long-nosed bandicoot,M,Godart,9
"Skink, african",F,Cassey,19
Pygmy possum,M,Brocky,11
Mourning collared dove,F,Robena,6
"Grouse, sage",M,Case,18
"Langur, gray",F,Almeria,1
Northern phalarope,M,Hermon,8
Cook's tree boa,F,Madeleine,19
"Frogmouth, tawny",M,Keir,4
"Rhea, common",F,Ros,6
"Vulture, lappet-faced",M,Preston,15
"Lion, galapagos sea",M,Tam,13
Slender-billed cockatoo,M,Patrice,12
"Chipmunk, least",M,Dukey,8
Wolf spider,M,Dugald,13
Southern right whale,F,Patrica,3
"Bandicoot, southern brown",F,Sibilla,3
"Bleu, red-cheeked cordon",M,Finley,19
Tammar wallaby,F,Carilyn,22
"Kingfisher, malachite",F,Susy,10
"Dog, raccoon",F,Ariel,20
Yellow-rumped siskin,F,Lenore,3
Kalahari scrub robin,F,Brigitte,22
"Antelope, roan",M,Dalton,12
Galapagos hawk,F,Antonella,12
Greater roadrunner,F,Kristina,15
"Macaw, blue and yellow",F,Dolli,6
Desert kangaroo rat,M,Noble,14
"Squirrel, grey-footed",F,Ardra,12
Cook's tree boa,F,Cherye,19
"Wallaby, euro",M,Waldon,14
Galah,M,Witty,7
"Cat, jungle",F,Sigrid,15
"Cat, african wild",F,Estel,17
Guanaco,F,Virginia,8
Orca,M,Fabien,15
Vervet monkey,M,Cash,3
"Tern, royal",F,Gerladina,15
Galapagos hawk,F,Nomi,13
Crested screamer,M,Gerhardt,7
White-lipped peccary,M,Brendon,4
Short-beaked echidna,F,Pearle,12
Jaguar,M,Irv,3
Green-winged trumpeter,M,Reid,5
European stork,M,Lucas,5
Thirteen-lined squirrel,M,Karlis,7
European stork,F,Emogene,14
King cormorant,F,Nataline,18
"Bird, red-billed tropic",F,Adelaida,11
"Elk, Wapiti",M,Ludwig,10
African buffalo,F,Kristal,1
"Jackal, silver-backed",M,Maxy,20
"Thrasher, curve-billed",F,Bernardine,6
"Baboon, chacma",M,Perren,11
Lily trotter,M,Clayton,20
Dusky gull,F,Loni,21
Dassie,M,Hamnet,12
Ostrich,M,Claus,14
"Grouse, greater sage",M,Poul,3
Woodchuck,F,Alina,6
"Quoll, eastern",F,Filippa,2
Jaguar,F,Kettie,13
Indian tree pie,M,Vic,2
Oribi,M,Rurik,13
Horned lark,M,Solomon,2
Hawk-headed parrot,M,Stearn,14
"Fox, blue",F,Devan,19
"Openbill, asian",F,Ardyth,15
Collared lizard,M,Juan,23
Savannah deer,F,Dorey,8
North American beaver,F,Bethanne,20
Osprey,M,Winston,3
"Boa, columbian rainbow",M,Ben,23
"Lizard, giant girdled",F,Gleda,22
"Dolphin, common",F,Cthrine,18
Black-crowned crane,M,Elvin,11
Flightless cormorant,F,Petra,23
"Crane, brolga",F,Dorrie,10
Sugar glider,F,Betteanne,6
"Beaver, american",F,Evelyn,22
Openbill stork,M,Kelbee,5
North American beaver,M,Reube,8
"Sloth, pale-throated three-toed",M,Rafaello,23
Red-tailed phascogale,F,Atlante,14
European beaver,M,Asa,11
"Fox, bat-eared",M,Waldemar,15
South African hedgehog,M,Harcourt,4
Superb starling,M,Yorke,6
"Beaver, american",M,Carter,7
"Mouse, four-striped grass",F,Cathlene,8
"Armadillo, nine-banded",F,Analise,8
"Lechwe, kafue flats",F,Lenka,22
Black-crowned crane,F,Lurlene,21
"Porcupine, north american",M,Eugenius,8
Carmine bee-eater,F,Kordula,7
"Plover, blacksmith",M,Gerrard,4
"Barbet, levaillant's",F,Junette,15
White-browed sparrow weaver,F,Susanne,9
Southern black-backed gull,M,Haywood,10
"Bleu, red-cheeked cordon",M,Amory,15
Downy woodpecker,F,Harli,8
"Skunk, striped",M,Boot,14
"Blackbird, red-winged",F,Frayda,3
"Brocket, red",F,Miran,15
"Kingfisher, pied",M,Doy,5
"Heron, striated",F,Modestia,2
Red-cheeked cordon bleu,F,Jacquelin,19
Ring-tailed lemur,M,Virgil,16
Crimson-breasted shrike,F,Evvie,12
Sacred ibis,F,Fredi,18
Civet cat,M,Reinald,17
"Alligator, mississippi",F,Belle,3
American black bear,F,Giuditta,15
Red-necked wallaby,M,Jamey,2
"Gecko, ring-tailed",F,Leanora,6
Dassie,M,Lief,16
Crowned hawk-eagle,F,Dari,11
African polecat,M,Ali,1
Mallard,M,Grannie,7
Swainson's francolin,F,Maritsa,8
"Duiker, gray",F,Brynn,7
"Lizard, giant girdled",F,Kary,1
Northern fur seal,F,Berthe,13
Red sheep,F,Karlotta,8
"Sheep, american bighorn",F,Zorina,14
Common turkey,F,Florencia,14
Lizard (unidentified),M,Giffard,9
Mexican boa,M,Tristan,10
Yellow-rumped siskin,M,Rickie,20
Komodo dragon,F,Liv,8
Black-winged stilt,F,Denyse,1
Wild boar,F,Pia,21
Yellow-necked spurfowl,M,Lay,8
"Monitor, water",M,Lindsay,22
Indian jackal,F,Allene,2
Southern right whale,F,Sibyl,18
"Jackal, indian",M,Malcolm,12
Ringtail,M,Umberto,10
Barrows goldeneye,M,Fredrick,23
Red-knobbed coot,F,Dore,18
"Bulbul, black-eyed",M,Wade,3
Red-tailed wambenger,M,My,20
Indian star tortoise,M,Ramsay,14
"Monkey, bleeding heart",M,Geno,4
"Sandgrouse, yellow-throated",M,Sancho,5
"Dove, laughing",M,Bat,4
"White-eye, pale",F,Alisun,21
"Lion, galapagos sea",M,Morly,11
"Hyena, spotted",M,Leighton,15
Aardwolf,M,Johann,8
"White-eye, pale",F,Pat,6
Brown pelican,F,Randa,3
"Darter, african",F,Kathi,15
"Cat, native",F,Colleen,5
Pig-tailed macaque,F,Pet,2
Elegant crested tinamou,F,Rivkah,23
"Lizard, goanna",F,Mab,12
White-cheeked pintail,M,Frannie,2
Red-billed toucan,F,Shoshana,22
Tarantula,M,Bail,5
Lesser double-collared sunbird,F,Veriee,16
Mountain goat,F,Chelsea,16
"Dolphin, striped",M,Gaby,4
"Squirrel, thirteen-lined",M,Wainwright,3
Black-faced kangaroo,M,Jocko,9
Striated heron,F,Prissie,21
North American red fox,M,Sascha,12
"Dove, rock",F,Lorrin,20
"Pheasant, common",F,Almeria,18
Javanese cormorant,F,Shari,2
Red-shouldered glossy starling,F,Druci,23
"Fox, crab-eating",F,Mavra,9
Llama,F,Kimberlee,1
"Squirrel, malabar",M,Rowen,2
"Cat, kaffir",F,Hedda,11
"Trotter, lily",M,Salmon,9
Tiger,F,Daffi,2
"Porcupine, north american",F,Maxine,10
"Gazer, sun",F,Tisha,12
White rhinoceros,M,Kingsly,21
Ovenbird,M,Krishnah,17
Harbor seal,M,Stanford,7
North American red fox,F,Berenice,21
Black-throated cardinal,F,Luisa,3
Four-striped grass mouse,F,Monica,20
Brolga crane,F,Chloe,19
Red-breasted cockatoo,M,Jerrold,11
Impala,F,Averyl,13
Collared lizard,M,Hartley,20
"Tern, arctic",F,Rafaela,7
Green heron,F,Pam,7
"Marten, american",F,Aloisia,5
Yellow-headed caracara,F,Abbie,17
Oribi,M,Mendy,10
"Bleu, red-cheeked cordon",M,Levi,12
Common zebra,F,Zia,22
Bobcat,M,Cammy,11
"Kiskadee, great",M,Benson,18
Ground monitor (unidentified),F,Maitilde,10
"Wallaby, agile",M,Robb,22
Little grebe,M,Hendrick,4
"Quoll, eastern",M,Mortie,7
Asian water dragon,F,Norma,9
"Shrew, mandras tree",M,Thadeus,2
Alpaca,M,Rube,18
Blue-tongued skink,F,Shannon,17
"Wallaby, red-necked",F,Heidi,8
Chestnut weaver,F,Darbie,3
"Kiskadee, great",F,Aloysia,9
Northern elephant seal,F,Pepi,3
Manatee,F,Sadella,10
Coyote,F,Shae,23
"Coot, red-knobbed",F,Gertruda,23
"Gull, dusky",M,Geoff,14
"Phascogale, brush-tailed",M,Sherwood,13
Malagasy ground boa,F,Charo,4
"Tenrec, tailless",M,Nikolaus,12
"Pheasant, ring-necked",M,Constantine,16
Savannah deer (unidentified),M,Dwain,13
"Possum, golden brush-tailed",M,West,2
Pale-throated three-toed sloth,M,Troy,18
Tawny eagle,F,Celestyna,7
Yellow-brown sungazer,M,Ruben,18
Leadbeateri's ground hornbill,M,Jodi,8
"Flamingo, roseat",M,Clemente,15
Common boubou shrike,M,Elias,20
Common grenadier,F,Vanna,23
"Penguin, magellanic",M,Chic,8
Square-lipped rhinoceros,F,Esme,14
Galapagos penguin,M,Nealy,2
Woodchuck,M,Rolf,10
"Eagle, african fish",M,Frederico,3
Spectacled caiman,F,Caitlin,8
"Tamandua, southern",F,Faith,1
Lesser masked weaver,F,Maxi,17
Gerbil (unidentified),F,Sophia,12
"Lion, african",F,Shara,12
Ringtail cat,F,Chlo,13
"Sheep, stone",F,Lindi,4
Tyrant flycatcher,F,Norine,20
"Heron, goliath",F,Myrtia,19
"Lynx, african",F,Antoinette,23
Worm snake (unidentified),F,Siana,18
Cape clawless otter,F,Petronia,12
Darwin ground finch (unidentified),M,Shurlocke,5
"Alligator, mississippi",M,Nicko,16
Common green iguana,M,Winslow,23
"Heron, grey",M,Brandtr,23
"Armadillo, nine-banded",F,Terza,17
Yellow-necked spurfowl,M,Husein,18
"Baboon, chacma",M,Taddeusz,5
"Lion, australian sea",M,Brig,5
"Deer, red",M,Booth,6
Chilean flamingo,F,Mechelle,4
Eastern indigo snake,M,Wallace,19
"Colobus, magistrate black",F,Hildegarde,8
Two-toed sloth,F,Lucila,8
Sage hen,F,Ana,19
American woodcock,F,Barbara,5
Pygmy possum,F,Joyce,17
Snake (unidentified),F,Joni,14
Helmeted guinea fowl,F,Fay,21
"Kangaroo, black-faced",F,Deanne,17
Marabou stork,M,Gaultiero,14
Striped hyena,F,Maurita,1
Savannah deer,F,Thekla,20
Squirrel glider,F,Virgie,6
Ring-necked pheasant,F,Wilow,9
Mountain goat,F,Marci,23
White-winged tern,M,Bale,18
Ring-tailed lemur,M,Torry,12
"Turkey, australian brush",M,Nicola,12
"Colobus, magistrate black",M,Arnie,13
Eastern dwarf mongoose,M,Ernst,21
Greater sage grouse,M,Armstrong,2
Bush dog,M,Tome,22
"Fox, north american red",F,Ulrike,16
African skink,F,Diannne,14
Suricate,M,Montgomery,2
Uinta ground squirrel,M,Sandro,14
White-faced tree rat,F,Brynne,2
Snake (unidentified),M,Boycey,7
Brown brocket,M,Kort,11
"Lizard, giant girdled",F,Giulia,18
"Ringtail, common",M,Carver,17
"Grenadier, common",F,Karine,19
"Eagle, pallas's fish",M,Hayward,11
Turtle (unidentified),F,Becky,20
"Gull, pacific",M,Lyman,19
Rose-ringed parakeet,F,Almeria,11
Red-shouldered glossy starling,M,Arron,4
Spotted hyena,M,Dirk,1
Argalis,F,Emmaline,17
Slender-billed cockatoo,F,Pammy,11
Pine siskin,F,Monica,16
"Fox, arctic",M,Ingram,10
Smith's bush squirrel,F,Gennie,20
"Penguin, fairy",M,Bondie,8
"Goose, knob-nosed",F,Kathleen,7
"Spurfowl, yellow-necked",M,Renaldo,11
Asian false vampire bat,F,Calypso,7
"Cat, kaffir",M,Trueman,16
"Moccasin, water",M,Sheffie,5
Sage grouse,M,Gilburt,22
Gray rhea,F,Lisetta,7
"Sloth, two-toed tree",M,Skipp,1
"Eagle, long-crested hawk",F,Cassy,8
"Monkey, rhesus",M,Sascha,15
Tammar wallaby,F,Jobey,23
"Hornbill, leadbeateri's ground",M,Leonhard,3
Snake-necked turtle,M,Tobiah,7
"Nuthatch, red-breasted",F,Miguela,8
Little heron,F,Margalo,4
American beaver,M,Terrance,11
Oribi,F,Deeann,8
Savanna fox,M,Jervis,4
"Openbill, asian",F,Kelci,18
Greylag goose,M,Abelard,3
"Crow, american",M,Port,8
Eastern cottontail rabbit,F,Perl,17
"Gazelle, grant's",M,Cleveland,7
"Monkey, black spider",M,Paxon,5
"Squirrel, golden-mantled ground",M,Earle,2
Water monitor,M,Benson,1
"Otter, african clawless",M,Harper,16
Asian water dragon,M,Solly,17
Moose,M,Guillaume,22
"Heron, goliath",F,Catina,13
Uinta ground squirrel,M,Anatol,12
"Dove, white-winged",M,Dorian,20
Red-capped cardinal,M,Flint,14
"Squirrel, pine",F,Risa,18
Red-billed buffalo weaver,M,Alejandro,4
Lesser mouse lemur,M,Heall,19
Euro wallaby,M,Kelwin,13
Blue-breasted cordon bleu,F,Melinda,16
"Iguana, marine",F,Elsbeth,7
"Lory, rainbow",M,Papageno,9
Bare-faced go away bird,F,Jodie,11
Small Indian mongoose,F,Mirabelle,7
Black and white colobus,M,Maurits,15
"Colobus, black and white",M,Pascal,7
European wild cat,F,Louise,15
House sparrow,M,Alejandro,8
"Wombat, common",F,Corine,16
"Polecat, african",M,Ignaz,3
"Owl, white-browed",F,Ede,8
"Cormorant, king",M,Aloysius,18
"Squirrel, pine",F,Kellie,3
"Polecat, african",M,Yancy,11
African elephant,M,Perceval,5
Common eland,F,Cyndie,20
"Fox, savanna",F,Ceil,4
"Sparrow, house",F,Allyson,16
American bighorn sheep,F,Alane,2
Arctic hare,F,Minta,17
"Plover, blacksmith",F,Lanie,5
Cuis,M,Jonathan,9
"Magpie, australian",F,Jeanie,6
"Gull, southern black-backed",M,Freedman,11
White-browed sparrow weaver,M,Vic,4
European red squirrel,F,Vinni,22
"Mongoose, yellow",F,Maryellen,14
Pied avocet,M,Robert,23
Red deer,M,Gus,14
Blue peacock,F,Tiphani,16
Kafue flats lechwe,M,Egbert,15
"Macaw, scarlet",F,Francesca,2
"Coatimundi, ring-tailed",F,Bettye,21
"Toucan, white-throated",F,Desiri,11
"Butterfly, tropical buckeye",F,Kiele,5
Red-necked phalarope,F,Gisela,9
Common zebra,M,Boot,23
Blue-footed booby,M,Rochester,9
Southern brown bandicoot,F,Robin,4
"Weaver, sociable",F,Kerianne,17
Great kiskadee,F,Wylma,21
Golden-mantled ground squirrel,M,Baron,22
"Wagtail, african pied",F,Renell,4
Yellow-crowned night heron,F,Cherida,19
Indian star tortoise,F,Leda,11
Hottentot teal,F,Kalila,16
Common nighthawk,M,Darn,1
"Squirrel, indian giant",F,Valaria,23
"Marten, american",F,Maisie,8
Great cormorant,F,Nancee,5
Short-nosed bandicoot,F,Ursala,13
"Cockatoo, red-breasted",F,Dorolisa,13
"Zebra, plains",M,Rudolfo,6
American woodcock,M,Jarvis,19
Long-billed cockatoo,F,Jacklyn,11
Greater rhea,F,Cathrine,19
Cape clawless otter,M,Eddy,11
"Vulture, egyptian",M,Garry,2
"Elephant, african",M,Carly,23
Genoveva,F,Saloma,6
"Otter, canadian river",M,Gordan,1
European red squirrel,F,Iona,7
Caracara (unidentified),F,Karole,7
"Admiral, indian red",M,Graig,12
"Duck, mountain",F,Alexis,20
"Wallaby, whip-tailed",F,Koralle,9
Snake-necked turtle,M,Cullie,14
Cape wild cat,F,Daphne,4
"Rhinoceros, black",M,Wallache,6
"Jaeger, long-tailed",F,Marillin,12
Indian porcupine,M,Burke,23
"Boa, mexican",F,Wendye,2
"Lizard, giant girdled",F,Barbey,15
Turtle (unidentified),F,Berti,18
American Virginia opossum,M,Antone,2
"Brocket, brown",M,Jude,3
"Peacock, indian",F,Gabbi,21
"Goldeneye, common",F,Rhea,21
Oribi,F,Katy,5
Ground monitor (unidentified),F,Buffy,10
"Whale, baleen",M,Peirce,6
Bushpig,F,Kathe,14
Tayra,M,Smith,3
Large-eared bushbaby,F,Wandie,14
Long-tailed skua,M,Hilliard,17
"Porcupine, indian",M,Monroe,1
Violet-crested turaco,M,Gordy,20
"Eagle, crowned",F,Zola,23
Toddy cat,M,Corbin,6
"Gecko, tokay",F,Jelene,6
"Spoonbill, european",F,Brina,11
"Flamingo, lesser",F,Sallie,2
European spoonbill,M,Ole,6
"Dog, black-tailed prairie",M,Esdras,14
"Eagle, african fish",F,Carrie,1
Puna ibis,M,Barney,3
Burmese brown mountain tortoise,F,Justina,17
Radiated tortoise,F,Tabina,8
Eurasian hoopoe,F,Miof mela,20
Wild water buffalo,F,Katleen,21
Coke's hartebeest,M,Carney,2
"Bat, asian false vampire",F,Gilly,21
"Sheep, stone",F,Marcia,6
Clark's nutcracker,M,Alfonso,15
"Fox, pampa gray",F,Jenny,10
"Stork, european",M,Schuyler,18
Little grebe,F,Dayna,21
White-winged tern,M,Tyler,17
Rainbow lory,M,Sheff,5
Musk ox,M,Cad,5
Vine snake (unidentified),M,Reggy,23
American beaver,M,Ulysses,14
Cape Barren goose,M,Baird,3
"Zorro, common",M,Reinald,4
Brush-tailed bettong,F,Alfi,20
"Wallaby, euro",F,Violet,23
"Kangaroo, brush-tailed rat",M,Jermain,3
White-lipped peccary,M,Bastien,10
Waved albatross,M,Evin,4
Magistrate black colobus,M,Orton,12
Glossy ibis,M,Wolfy,15
White-winged black tern,M,Cornell,9
"Bettong, brush-tailed",F,Francine,5
Kori bustard,F,Bliss,21
Magistrate black colobus,F,Viki,17
Blue wildebeest,F,Andromache,17
Waved albatross,M,Giraud,22
"Badger, european",F,Anya,5
Eastern indigo snake,M,Amby,4
Southern elephant seal,M,Heath,16
"Sunbird, lesser double-collared",F,Catie,8
"Ox, musk",M,Gayler,8
Little grebe,M,Harley,7
Bengal vulture,F,Suzanne,22
"Cow, scottish highland",M,Hervey,4
"Glider, squirrel",M,Olivero,13
Radiated tortoise,F,Amabelle,22
South American puma,F,Felipa,9
Water monitor,M,Tracy,2
Woodchuck,F,Zuzana,23
Black-footed ferret,F,Elyse,7
"Macaque, rhesus",F,Alethea,10
Meerkat,M,Zak,22
Timber wolf,F,Marylinda,7
"Rhinoceros, white",M,Kennie,8
Common waterbuck,F,Rose,11
